"[run number]","catch-distance","predator-vision","noise-stddev","flocking","max-separate-turn","lock-on-distance","predator-population","predator-FOV","population","catch-handle-time","update-freq","topo","max-hunt-turn","predator-noise-stddev","flocking-weight","speed-stddev","max-vision","max-align-turn","predator-update-freq","hunting?","max-escape-turn","always_react?","max-cohere-turn","switch-penalty","detection-range","predator-speed","minimum-separation","speed","FOV","kill-prey","hunt-start-tick","control","proportional-turn-modifier","escape-strategy","predator-strategy","[step]","catches","losts"
"12","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","45","54"
"1","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","47","55"
"6","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","43","50"
"4","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","47","52"
"8","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","47","57"
"3","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","51","54"
"11","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","42","49"
"5","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","45","50"
"2","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","42","53"
"9","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","45","49"
"10","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","43","51"
"7","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","44","51"
"15","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","47","51"
"13","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","44","49"
"14","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","direct","2500","45","49"
"16","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","20","45"
"17","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","18","50"
"19","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","19","52"
"18","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","16","48"
"20","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","18","44"
"22","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","16","48"
"23","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","21","49"
"21","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","18","43"
"24","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","21","47"
"25","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","23","51"
"26","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","16","42"
"28","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","22","49"
"27","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","15","44"
"30","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","22","46"
"31","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","47","55"
"32","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","42","55"
"33","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","45","53"
"29","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","default","proportional","2500","14","38"
"34","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","48","50"
"36","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","48","55"
"35","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","48","54"
"37","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","44","48"
"38","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","46","53"
"39","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","47","55"
"40","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","43","57"
"41","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","50","54"
"43","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","44","50"
"45","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","44","51"
"42","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","40","49"
"44","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","direct","2500","49","52"
"46","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","30","48"
"47","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","19","45"
"48","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","20","44"
"49","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","21","41"
"50","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","17","50"
"51","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","14","39"
"53","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","17","45"
"55","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","19","45"
"54","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","18","42"
"52","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","24","46"
"56","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","14","38"
"58","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","18","53"
"60","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","14","40"
"59","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","18","43"
"57","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","turn 90 deg","proportional","2500","15","38"
"61","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","44","55"
"62","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","49","52"
"63","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","40","49"
"64","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","45","55"
"65","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","41","52"
"66","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","45","51"
"68","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","46","60"
"73","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","43","49"
"74","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","42","51"
"70","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","47","53"
"71","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","44","53"
"67","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","42","52"
"69","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","47","51"
"72","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","37","44"
"75","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","direct","2500","51","58"
"76","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","20","48"
"77","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","18","45"
"78","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","18","45"
"81","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","22","50"
"80","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","17","46"
"79","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","17","48"
"87","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","21","49"
"82","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","15","48"
"83","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","16","45"
"85","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","20","49"
"86","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","16","46"
"84","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","21","48"
"88","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","13","43"
"91","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","46","54"
"92","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","44","54"
"89","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","19","45"
"90","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sacrifice","proportional","2500","15","45"
"94","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","41","50"
"93","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","41","49"
"95","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","47","52"
"96","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","43","48"
"98","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","41","50"
"97","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","47","49"
"99","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","39","54"
"100","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","38","51"
"101","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","47","50"
"102","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","44","54"
"104","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","44","48"
"105","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","45","54"
"103","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","direct","2500","45","49"
"106","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","20","51"
"107","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","23","45"
"108","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","15","42"
"109","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","15","45"
"110","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","14","43"
"114","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","24","45"
"113","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","23","45"
"112","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","21","45"
"111","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","15","41"
"116","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","20","40"
"115","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","20","54"
"117","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","16","47"
"118","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","22","42"
"119","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","17","46"
"121","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","47","53"
"120","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","250","sprint","proportional","2500","15","43"
"122","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","43","51"
"123","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","45","53"
"124","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","48","55"
"125","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","43","47"
"127","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","48","55"
"128","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","45","53"
"129","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","48","56"
"126","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","40","46"
"130","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","48","54"
"131","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","40","49"
"133","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","50","57"
"132","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","41","48"
"134","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","46","52"
"135","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","direct","2500","49","54"
"136","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","24","51"
"137","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","24","53"
"138","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","24","49"
"139","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","24","46"
"140","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","23","45"
"142","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","24","52"
"141","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","18","43"
"143","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","31","51"
"144","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","24","40"
"145","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","29","47"
"146","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","29","48"
"147","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","19","41"
"148","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","31","44"
"149","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","29","55"
"150","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","default","proportional","2500","26","41"
"151","1","60","1","true","2","6","1","120","20","50","2","10","10","2","0.9","10","10","5","2","true","180","false","4","20","8","0.6","1","0.4","360","false","100","true","500","turn 90 deg","direct","2500","41","50"
